Date,Predicted Revenue
2011-12-10 12:50:00,477.217957010027
2011-12-11 12:50:00,477.58739186049206
2011-12-12 12:50:00,477.9568267109571
2011-12-13 12:50:00,478.32626156148035
2011-12-14 12:50:00,478.6956964119454
2011-12-15 12:50:00,479.06513126241043
2011-12-16 12:50:00,479.4345661129337
2011-12-17 12:50:00,479.8040009633987
2011-12-18 12:50:00,480.17343581386376
2011-12-19 12:50:00,480.542870664387
2011-12-20 12:50:00,480.91230551485205
2011-12-21 12:50:00,481.2817403653171
2011-12-22 12:50:00,481.65117521584034
2011-12-23 12:50:00,482.0206100663054
2011-12-24 12:50:00,482.3900449167704
2011-12-25 12:50:00,482.75947976729367
2011-12-26 12:50:00,483.1289146177587
2011-12-27 12:50:00,483.49834946822375
2011-12-28 12:50:00,483.867784318747
2011-12-29 12:50:00,484.23721916921204
2011-12-30 12:50:00,484.6066540196771
2011-12-31 12:50:00,484.97608887020033
2012-01-01 12:50:00,485.34552372066537
2012-01-02 12:50:00,485.7149585711304
2012-01-03 12:50:00,486.08439342165366
2012-01-04 12:50:00,486.4538282721187
2012-01-05 12:50:00,486.82326312258374
2012-01-06 12:50:00,487.192697973107
2012-01-07 12:50:00,487.56213282357203
2012-01-08 12:50:00,487.9315676740953
